carrier_route,avg_price,turnover_rate,total_sales,NOO_ratio,avg_yr_owned,total_units,sa_site_zip,sa_site_city
91750C023,539166.67,2.8,9,13.71,18.1,321,91750,"LA VERNE"
91750C002,621750,2.47,4,20.37,22.7,162,91750,"LA VERNE"
91750C001,628000,2.81,5,25.28,19.2,178,91750,"LA VERNE"
91750C006,692000,2.37,5,19.43,20.3,211,91750,"LA VERNE"
91750C028,1074230.77,2.78,13,8.35,16.1,467,91750,"LA VERNE"
91750C013,614318.18,2.64,11,11.78,20.6,416,91750,"LA VERNE"
91750C007,471916.67,1.98,6,31.68,16.1,303,91750,"LA VERNE"
91750C014,680363.64,3.54,11,14.79,21.3,311,91750,"LA VERNE"
91750C008,651000,3.52,5,77.46,8.2,142,91750,"LA VERNE"
91750C011,583800,2.96,10,26.63,21.7,338,91750,"LA VERNE"
91750C009,593250,3.48,14,17.66,20.1,402,91750,"LA VERNE"
91750C024,836176.47,3,17,8.3,20,566,91750,"LA VERNE"
91750C025,617388.89,3.64,9,16.6,17.8,247,91750,"LA VERNE"
91750C005,965470.59,3.46,17,10.57,21.2,492,91750,"LA VERNE"
91750C020,806333.33,3.22,12,7.24,21,373,91750,"LA VERNE"
91750C029,1225062.5,3.59,16,7.85,15.5,446,91750,"LA VERNE"
91750C021,788000,3.24,10,9.06,20.6,309,91750,"LA VERNE"
91750C019,566062.5,5.56,16,25.35,20.5,288,91750,"LA VERNE"
91750C026,693525,5.06,20,10.13,21.1,395,91750,"LA VERNE"
91750C010,708272.73,5,22,14.09,20.4,440,91750,"LA VERNE"
91750C027,750083.33,4.31,18,11,19.9,418,91750,"LA VERNE"
91750C012,854277.78,5.41,27,5.81,17.9,499,91750,"LA VERNE"
91750C017,472481.48,5.18,27,38.96,17.4,521,91750,"LA VERNE"
91750C022,960000,8.55,42,7.94,17.8,491,91750,"LA VERNE"
